W1,W2,W3,W4,W5,W6,W7,W8
0.0189042,0.166917,0.148039,0.555391,0.936674,0.327364,0.798238,0.555768
0.901521,0.180367,0.61794,0.632749,0.0660889,0.1983,0.387656,0.146231
0.374959,0.947705,0.933648,0.0905659,0.729651,0.26928,0.577855,0.194548
0.0118435,0.632071,0.638591,0.670897,0.803489,0.541384,0.355528,0.945467
0.50115,0.546436,0.919934,0.0307789,0.0787348,0.073586,0.455553,0.773492
0.443384,0.646606,0.740789,0.557882,0.468057,0.697239,0.396887,0.778865
0.852444,0.990235,0.378654,0.990819,0.687714,0.639008,0.148022,0.548777
0.500863,0.813094,0.361415,0.265358,0.0842972,0.666655,0.159216,0.691018
0.112195,0.913359,0.92666,0.328695,0.944204,0.603415,0.0207366,0.417261
0.791401,0.559122,0.407949,0.998425,0.121633,0.370174,0.466383,0.708264
0.934827,0.312863,0.0160933,0.661815,0.704525,0.532979,0.530835,0.663035
0.855888,0.443957,0.0880116,0.219353,0.807958,0.311752,0.54678,0.0539216
0.155007,0.265958,0.705901,0.568488,0.520999,0.188311,0.0421724,0.78957
0.0813006,0.142716,0.899412,0.351928,0.559725,0.859365,0.81156,0.290658
0.628262,0.767052,0.829928,0.0437149,0.921523,0.45193,0.653744,0.110114
0.0969567,0.609008,0.485035,0.90277,0.96354,0.559963,0.592959,0.884593
0.0334327,0.217773,0.274886,0.248823,0.0559166,0.688779,0.720712,0.581985
0.32361,0.469354,0.464604,0.0344985,0.293909,0.787401,0.39698,0.624804
0.645051,0.794679,0.703018,0.137272,0.984432,0.799497,0.214938,0.116232
0.584276,0.586073,0.763011,0.250154,0.290064,0.934078,0.626702,0.236921
0.672177,0.913567,0.991561,0.38023,0.0773956,0.700758,0.820094,0.992785
0.792689,0.752013,0.719801,0.937943,0.359342,0.724175,0.570349,0.8544
0.380194,0.809329,0.456975,0.0347105,0.329352,0.194528,0.704469,0.910232
0.0792933,0.727014,0.513867,0.378162,0.629422,0.886306,0.723369,0.668481
0.434192,0.845382,0.355212,0.178251,0.413607,0.469387,0.639072,0.781568
0.785474,0.615888,0.484577,0.034843,0.578386,0.907411,0.545896,0.912278
0.304882,0.61352,0.711223,0.875616,0.477513,0.541309,0.12753,0.19785
0.734032,0.00968075,0.818153,0.971015,0.703046,0.14914,0.0167575,0.716999
0.100197,0.563145,0.737461,0.580813,0.922699,0.8678,0.574438,0.213399
0.172767,0.854077,0.948058,0.369379,0.305226,0.747398,0.404646,0.70995
0.925116,0.451891,0.351053,0.913281,0.536405,0.770195,0.917925,0.731448
0.788422,0.338306,0.667875,0.637572,0.674854,0.240331,0.116289,0.444545
0.778826,0.0851685,0.888167,0.470291,0.815036,0.136429,0.552618,0.8658
0.877306,0.894883,0.689326,0.890064,0.711306,0.788005,0.245092,0.772424
0.909721,0.444706,0.762773,0.179336,0.774838,0.887543,0.176036,0.194288
0.930386,0.893582,0.552321,0.800322,0.859281,0.353378,0.927509,0.429037
0.404006,0.527175,0.0675123,0.912283,0.275786,0.537995,0.123537,0.0762645
0.289149,0.453006,0.574937,0.790941,0.182148,0.401759,0.802138,0.172509
0.768709,0.0141357,0.199391,0.812521,0.349295,0.0978495,0.339844,0.584303
0.94388,0.267827,0.518194,0.60953,0.925305,0.791818,0.106358,0.327137
0.279397,0.798663,0.951449,0.900323,0.380161,0.248384,0.356226,0.82509
0.37113,0.205368,0.118268,0.0274939,0.510274,0.461968,0.864178,0.742654
0.273215,0.642817,0.96861,0.231508,0.414259,0.285416,0.360224,0.00751449
0.473539,0.693671,0.860627,0.944445,0.287836,0.100284,0.932048,0.768815
0.960544,0.0970728,0.0563702,0.640057,0.724421,0.585925,0.752838,0.159158
0.101757,0.739346,0.810178,0.509481,0.732321,0.00547092,0.643932,0.584016
0.540645,0.976107,0.274291,0.62169,0.469398,0.237438,0.907925,0.985889
0.307531,0.757398,0.0181834,0.497163,0.360889,0.993375,0.334304,0.00983547
0.151651,0.206543,0.354435,0.611337,0.840327,0.747199,0.399386,0.430036
0.422623,0.175012,0.632564,0.110976,0.161677,0.0890657,0.696662,0.449389
0.324211,0.910822,0.361953,0.236482,0.372808,0.0690724,0.244157,0.0718063
0.556407,0.2696,0.513261,0.0174534,0.61774,0.793389,0.316231,0.489054
0.18444,0.189431,0.998663,0.826806,0.193327,0.00447957,0.707297,0.0870044
0.214903,0.435446,0.718582,0.492611,0.458746,0.215007,0.529295,0.729256
0.565262,0.912408,0.874894,0.512553,0.744621,0.27353,0.98005,0.332308
0.908647,0.190121,0.426527,0.226208,0.802418,0.70361,0.36548,0.456731
0.6999,0.709019,0.464591,0.18239,0.688129,0.806096,0.619841,0.475366
0.885462,0.763644,0.134123,0.921935,0.35153,0.659627,0.880268,0.476996
0.743195,0.272146,0.0917478,0.945293,0.534498,0.46942,0.532934,0.377707
0.444682,0.295074,0.481753,0.555974,0.300912,0.763321,0.124714,0.999289
0.118603,0.961221,0.930291,0.624551,0.977473,0.589633,0.810377,0.649409
0.93927,0.213397,0.447109,0.625691,0.442657,0.7425,0.44232,0.0599507
0.596452,0.380588,0.310738,0.29231,0.28378,0.615704,0.429015,0.180743
0.331013,0.667731,0.244198,0.901076,0.676443,0.285151,0.14549,0.382528
0.293001,0.374159,0.940256,0.0200597,0.471246,0.122657,0.221376,0.505927
0.504082,0.683131,0.342697,0.168293,0.752203,0.47881,0.378651,0.895993
0.844781,0.97532,0.868964,0.542705,0.290036,0.503382,0.628739,0.284609
0.945664,0.668924,0.930201,0.105305,0.759272,0.227246,0.69312,0.578961
0.848311,0.697433,0.337452,0.0390883,0.701551,0.579749,0.346974,0.992703
0.544018,0.247502,0.271167,0.32264,0.589011,0.260994,0.712409,0.933761
0.52084,0.872526,0.526122,0.920883,0.290427,0.0522782,0.215977,0.541751
0.526218,0.776567,0.598749,0.704747,0.0874121,0.280905,0.614315,0.733442
0.625083,0.140081,0.564628,0.638796,0.223852,0.765974,0.475462,0.90762
0.278809,0.252782,0.124145,0.0863809,0.868586,0.36678,0.340845,0.931814
0.521887,0.55708,0.567014,0.230404,0.202061,0.171989,0.744869,0.28052
0.330242,0.509845,0.472831,0.321209,0.0340467,0.496411,0.669674,0.73632
0.275095,0.976013,0.269707,0.409384,0.832192,0.637718,0.557152,0.391644
0.372911,0.779914,0.983945,0.106553,0.11951,0.338613,0.727813,0.782706
0.986322,0.242948,0.212994,0.716173,0.75266,0.997422,0.935244,0.0213451
0.753354,0.0886796,0.249952,0.834031,0.726242,0.883539,0.263517,0.0849894
0.44599,0.803446,0.951125,0.706559,0.440144,0.945504,0.189286,0.242749
0.845778,0.703194,0.743072,0.74468,0.366399,0.95139,0.27037,0.280558
0.501424,0.925652,0.511656,0.73651,0.203925,0.0231159,0.148272,0.280337
0.551872,0.402484,0.455111,0.0123676,0.831811,0.46226,0.164361,0.327197
0.742759,0.255174,0.308527,0.583643,0.557876,0.708773,0.799359,0.698373
0.272418,0.739929,0.713279,0.695746,0.921203,0.882461,0.226243,0.31542
0.386349,0.405613,0.90812,0.00600636,0.755349,0.127628,0.066848,0.897507
0.75361,0.539227,0.444613,0.521463,0.808674,0.332789,0.200156,0.610451
0.493471,0.158754,0.77446,0.837311,0.616722,0.285173,0.917157,0.205447
0.665179,0.969613,0.568064,0.0576272,0.678338,0.228669,0.300199,0.947417
0.90187,0.565562,0.105543,0.381556,0.986871,0.555532,0.519547,0.575459
0.334291,0.130138,0.405425,0.519814,0.0145417,0.469818,0.982643,0.141345
0.295571,0.531001,0.335978,0.827915,0.230603,0.264562,0.5211,0.326804
0.618101,0.237427,0.259097,0.926026,0.330986,0.935517,0.567586,0.35261
0.182479,0.860023,0.465985,0.539237,0.247392,0.968885,0.223027,0.571589
0.212147,0.91989,0.575794,0.46933,0.466373,0.215723,0.370641,0.693724
0.806353,0.585039,0.854367,0.511788,0.171563,0.161926,0.50584,0.45851
0.108719,0.340987,0.0286808,0.941638,0.946895,0.45609,0.456062,0.295485
0.677312,0.994179,0.734124,0.0676517,0.362284,0.254821,0.927033,0.757118
0.194885,0.681116,0.231433,0.16239,0.085768,0.265933,0.713606,0.984366
0.37179,0.178858,0.780909,0.773771,0.967543,0.990797,0.670955,0.451361
0.539718,0.235844,0.678218,0.721342,0.257648,0.55907,0.164473,0.2123
0.251138,0.736397,0.162593,0.714243,0.0490499,0.847807,0.141321,0.658566
0.71915,0.555456,0.250034,0.685283,0.0968632,0.325936,0.341172,0.160923
0.321164,0.0396263,0.975376,0.362877,0.441562,0.235388,0.0144938,0.702647
0.0376385,0.557155,0.771878,0.033947,0.613741,0.726508,0.545097,0.577739
0.811861,0.975225,0.847867,0.898087,0.156371,0.13771,0.372016,0.284328
0.0453105,0.708834,0.369648,0.00112686,0.454333,0.589025,0.946867,0.0341974
0.297524,0.966406,0.676765,0.918376,0.553069,0.685356,0.743245,0.245095
0.303918,0.899624,0.431675,0.344131,0.856417,0.940638,0.114521,0.656981
