f1,f2,f3,f4,f5,f6,f7,f8,class
5.84449,3.17265,-11.7065,-1.46383,0.681367,-0.660119,0.0569847,-0.570699,1
2.68561,5.71093,-7.79985,5.35109,0.333399,2.88327,0.272564,0.195293,1
8.44898,1.20782,0.155817,10.2736,0.170913,1.13135,0.368881,0.103947,1
20.751,-1.63048,13.0089,15.3282,-0.923337,0.279942,0.477337,1.28296,1
13.5267,-0.419661,0.149893,1.26938,0.293579,0.310913,2.19344,1.4795,1
10.0925,1.10016,4.04158,8.83429,0.537377,-0.267558,0.990331,0.339532,1
3.99181,-0.616534,1.18394,3.32355,0.897509,-0.0374077,0.352397,1.10149,1
4.46946,0.768438,-11.1978,-4.35419,-0.236651,-0.0152435,0.373128,-0.39278,1
-11.4603,6.12278,-20.2409,-14.0205,1.26756,1.09329,0.340163,0.818261,1
-4.856,11.7944,-17.6591,6.03009,1.27856,-0.179896,0.626372,-0.186687,1
2.39359,7.80128,-11.1996,5.76097,0.93681,0.412468,0.895943,-1.4061,1
12.7932,-1.04746,4.58387,13.1012,-0.755135,0.534863,0.430391,-0.591147,1
16.9826,1.52639,5.98735,18.3523,0.426499,0.0384905,-0.788463,0.85182,1
14.2984,0.285459,8.09301,11.0853,-1.22427,-0.211754,1.82167,0.854054,1
8.10397,-2.61551,-0.682271,-2.1789,0.539662,0.715241,0.895411,0.432169,1
14.0879,-3.52089,6.89106,4.8428,0.178929,-0.276051,0.234499,-0.9655,1
4.43106,-1.74207,-4.38685,-11.7857,-0.286764,-0.561036,-1.73837,0.782513,1
16.4536,-1.61018,3.94063,7.51184,-0.651156,0.73963,0.497885,-0.401336,1
5.41935,3.94551,-4.45549,6.23234,-0.49554,-1.34147,0.340919,0.183159,1
14.9615,-2.73447,5.01574,5.76732,-1.72417,-0.352646,0.509832,-0.821835,1
8.07569,-2.66445,-2.16183,2.37264,-1.313,-0.59354,-1.66273,0.402382,1
11.5506,1.58089,-6.46921,6.23274,-1.19722,-0.143672,-0.437947,0.71208,1
14.8706,-2.62766,3.13754,5.61024,-0.577617,0.677691,0.626971,0.278682,1
18.2362,-5.30391,10.9458,4.87248,0.357225,0.787434,0.69126,0.311641,1
19.8989,-2.34344,4.59565,6.39185,-1.84954,0.286376,1.58973,1.49805,1
3.23449,4.65806,-7.57658,2.71836,-0.0485612,-1.27742,-0.110433,-0.0536669,1
11.138,-0.0309781,-0.181811,-1.14581,-1.50791,-0.377663,-0.678456,-1.0643,1
13.1097,0.114408,6.85526,11.8893,0.0362395,-0.133306,-0.0163954,0.443983,1
5.23956,4.65486,-5.98198,2.61469,0.159188,0.665945,-1.38783,1.5549,1
11.07,0.886182,8.00677,15.5011,0.579955,-0.00211058,0.586639,1.25783,1
16.2929,-1.13085,2.57064,9.93253,-0.116477,-0.543192,-0.729098,2.00506,1
8.06758,4.68643,-5.35658,8.59544,0.287237,0.813599,0.556292,-0.411409,1
21.4184,-3.65466,11.6515,10.7452,0.881372,-0.650584,-0.763973,-0.913057,1
15.6684,1.03802,5.91904,15.9803,0.427088,-1.0436,-0.288409,0.407452,1
11.3428,0.414996,-0.0569104,8.93735,0.591442,0.981671,0.674335,0.631678,1
11.5552,-2.11795,-0.930638,-4.4791,-0.893552,-0.157999,0.259388,-1.4911,1
12.3617,1.06589,8.2202,16.3872,0.214458,1.66735,-0.0145131,0.366294,1
17.5871,-2.99924,15.2574,13.0287,-0.0247047,0.348407,0.28215,0.659496,1
5.6888,-0.151199,5.59014,-1.42093,-1.25278,0.879797,-1.24871,0.567615,1
11.7317,3.38041,0.821888,9.35338,1.49866,-0.596539,-1.1567,0.312312,1
12.86,1.92894,6.04224,10.7613,-1.01843,-0.246861,-0.402435,-0.183985,1
6.2911,1.87261,-1.35398,5.79555,-0.106597,0.697162,0.0508449,0.885822,1
11.0194,-1.49778,-0.91471,3.32097,1.66482,-0.129448,-0.572176,-0.455666,1
12.1495,5.10236,-12.1404,5.48856,0.404437,-1.57265,-1.32751,0.469052,1
9.73143,-2.94113,8.02606,-0.134003,-0.281064,0.718439,0.838604,-0.201093,1
17.1743,-5.59067,19.0536,11.7189,0.956125,0.150351,-1.3145,-0.215025,1
-3.3748,7.32328,-12.0582,7.29827,1.5114,0.0367691,-0.8549,-0.386172,1
18.4426,-3.32417,13.3528,11.2975,-0.266579,-0.27067,-0.480819,-0.906445,1
4.73891,3.36686,2.01332,12.1639,1.45151,-1.45474,0.86696,0.915213,1
6.33791,0.445107,6.22383,8.38172,0.908503,-0.5444,-1.66062,-0.804328,1
5.04661,0.519987,1.54958,0.493792,1.39728,2.52326,-1.48532,-0.606089,1
15.7536,-0.983657,2.57939,6.72122,1.13841,-0.698644,-1.23247,-1.46826,1
10.0159,-0.728308,6.92967,7.98236,0.336088,1.9625,-0.411755,-0.753357,1
7.38395,-1.61527,0.756897,2.50657,-1.21143,0.86456,0.861543,-0.510337,1
-5.19874,7.13458,-11.4115,4.9349,0.897004,-1.30014,-1.98124,0.40404,1
22.4195,-4.50158,10.4344,8.61606,0.596699,0.704202,0.835906,-0.379989,1
14.17,-3.33042,11.0103,4.20886,-0.77626,-0.350108,-0.69016,1.55093,1
8.44446,1.03499,1.63191,8.59886,0.495055,-1.10893,0.342002,0.618378,1
-2.62782,4.99485,-3.93059,1.32285,-0.12002,0.779018,-1.7712,-1.38153,1
4.28859,7.33743,-7.56173,7.58389,0.519831,0.663829,-0.817838,1.2392,1
